Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB
Jason Jaramillo,26,PIT,63,224,206,20,52,14,0,3,26,1,0,17,33,0,2
Jason Kendall,35,MIL,134,526,452,48,109,19,2,2,43,7,2,46,58,17,6
Jason Kubel,27,MIN,146,578,514,73,154,35,2,28,103,1,1,56,106,3,9
Jason LaRue,35,STL,51,112,104,10,25,3,0,2,6,1,0,3,22,4,0
Jason Marquis,30,COL,36,75,64,7,11,3,0,0,8,0,0,2,14,0,0
Jason Michaels,33,HOU,102,152,135,17,32,12,1,4,16,1,2,16,38,1,0
Jason Smith,31,HOU,21,27,25,1,0,0,0,0,1,0,0,0,9,0,0
Jason Varitek,37,BOS,109,425,364,41,76,24,0,14,51,0,0,54,90,3,6
Javier Vazquez,32,ATL,37,91,68,6,12,3,0,0,3,0,0,3,14,0,0
Jay Bruce,22,CIN,101,387,345,47,77,15,2,22,58,3,3,38,75,2,2
Jayson Nix,26,CHW,94,290,255,36,57,11,0,12,32,10,2,28,64,4,1
Jayson Werth,30,PHI,159,676,571,98,153,26,1,36,99,20,3,91,156,8,8
Jed Lowrie,25,BOS,32,76,68,5,10,2,0,2,11,0,0,6,20,0,0
Jeff Bailey,30,BOS,26,91,77,14,16,3,2,3,9,0,0,10,21,4,0
Jeff Baker,28,TOT,81,248,226,27,65,15,2,4,24,1,0,18,53,2,0
Jeff Fiorentino,26,BAL,24,75,64,8,18,1,0,0,8,2,0,8,16,0,0
Jeff Francoeur,25,TOT,157,632,593,72,166,32,4,15,76,6,4,23,92,6,5
Jeff Karstens,26,PIT,37,26,22,2,1,0,0,0,0,0,0,2,12,1,0
Jeff Keppinger,29,HOU,107,344,305,35,78,13,3,7,29,0,2,27,33,3,3
Jeff Larish,26,DET,32,90,74,13,16,3,1,4,7,0,1,15,25,0,0
Jeff Mathis,26,LAA,84,272,237,26,50,8,0,5,28,2,3,22,73,4,0
Jeff Salazar,28,PIT,21,26,23,1,1,0,0,0,1,1,0,3,7,0,0
Jeff Suppan,34,MIL,29,56,42,4,6,1,0,0,5,0,0,4,12,0,0
Jeff Weaver,32,LAD,26,15,13,1,3,0,0,0,0,0,0,0,6,0,0
Jeremy Hermida,25,FLA,129,491,429,48,111,14,2,13,47,5,2,56,101,4,4
Jeremy Reed,28,NYM,126,178,161,9,39,6,2,0,9,0,3,14,36,0,1
Jermaine Dye,35,CHW,141,574,503,78,126,19,1,27,81,0,2,64,108,5,2
Jerry Hairston,33,TOT,131,433,383,62,96,23,1,10,39,7,4,32,54,6,0
Jerry Owens,28,CHW,12,15,12,0,1,0,0,0,0,1,0,3,3,0,0
Jesus Flores,24,WSN,29,106,93,13,28,3,2,4,15,0,0,11,26,0,1
Jesus Guzman,25,SFG,12,20,20,0,5,0,0,0,0,0,0,0,3,0,0
Jhonny Peralta,27,CLE,151,645,582,57,148,35,1,11,83,0,2,51,134,4,0
Jim Thome,38,TOT,124,434,362,55,90,15,0,23,77,0,0,69,123,0,3
Jimmy Rollins,30,PHI,155,725,672,100,168,43,5,21,77,31,8,44,70,2,1
Jo-Jo Reyes,24,ATL,6,11,9,1,1,0,0,0,0,0,0,2,7,0,0
Jody Gerut,31,TOT,122,298,274,40,63,13,0,9,35,6,2,19,43,1,1
Joe Blanton,28,PHI,30,69,55,4,7,0,0,0,1,0,0,4,21,1,0
Joe Crede,31,MIN,90,367,333,42,75,16,1,15,48,0,0,29,56,2,1
Joe Dillon,33,TBR,15,35,30,4,9,0,0,1,2,0,0,3,4,2,0
Joe Inglett,31,TOR,36,99,89,11,25,4,1,0,6,3,1,8,21,1,0
Joe Mauer,26,MIN,138,606,523,94,191,30,1,28,96,4,1,76,63,2,14
Joe Thurston,29,STL,124,307,267,27,60,17,4,1,25,4,2,33,56,3,5
Joel Pineiro,30,STL,32,79,66,4,9,2,0,0,4,1,0,4,33,0,0
Joey Gathright,28,TOT,37,32,30,9,8,0,0,0,0,2,2,2,8,0,0
Joey Votto,25,CIN,131,544,469,82,151,38,1,25,84,4,1,70,106,4,10
Johan Santana,30,NYM,23,57,42,1,7,3,0,0,4,0,0,5,14,0,0
John Baker,28,FLA,112,423,373,59,101,25,0,9,50,0,0,41,89,5,5
John Bowker,25,SFG,31,73,67,7,13,2,2,2,7,1,0,4,18,1,0
John Buck,28,KCR,59,202,186,16,46,12,4,8,36,1,1,13,55,1,0
John Hester,25,ARI,15,30,28,4,7,2,0,1,4,0,0,2,7,0,0
John Lannan,24,WSN,31,65,58,1,9,1,0,0,0,0,0,2,21,0,0
John Maine,28,NYM,16,29,27,0,4,0,0,0,2,0,0,0,11,0,0
John Mayberry,25,PHI,39,60,57,8,12,3,0,4,8,0,0,2,23,1,0
John McDonald,34,TOR,73,156,151,18,39,7,0,4,13,0,2,1,18,2,0
John Smoltz,42,TOT,8,16,15,1,1,0,0,0,0,0,0,1,7,0,0
Johnny Cueto,23,CIN,28,59,46,5,6,0,0,0,1,0,0,3,17,0,0
Johnny Damon,35,NYY,143,626,550,107,155,36,3,24,82,12,0,71,98,2,1
Jon Garland,29,TOT,32,75,70,3,6,0,0,0,1,0,0,1,34,1,0
Jonathan Sanchez,26,SFG,31,54,41,2,3,0,0,0,0,0,0,4,27,1,0
Jonathan Van Every,29,BOS,7,13,11,1,4,0,0,1,3,0,0,2,5,0,0
Jonny Gomes,28,CIN,98,314,281,39,75,17,0,20,51,3,1,26,85,5,2
Jordan Schafer,22,ATL,50,195,167,18,34,8,0,2,8,2,1,27,63,0,3
Jordan Zimmermann,23,WSN,15,34,27,1,4,0,0,0,2,0,0,1,11,0,0
Jorge Cantu,27,FLA,149,643,585,67,169,42,0,16,100,3,1,47,81,6,4
Jorge De La Rosa,28,COL,32,63,57,3,7,2,0,0,3,0,0,1,30,0,0
Jorge Padilla,29,WSN,29,26,25,3,3,0,0,0,0,0,0,1,8,0,0
Jorge Posada,37,NYY,111,438,383,55,109,25,0,22,81,1,0,48,101,2,4
Jose Bautista,28,TOR,113,404,336,54,79,13,3,13,40,4,0,56,85,4,1
Jose Guillen,33,KCR,81,312,281,30,68,8,0,9,40,1,0,22,50,8,1
Jose Lobaton,24,SDP,7,17,17,0,3,0,0,0,0,0,0,0,5,0,0
Jose Lopez,25,SEA,153,653,613,69,167,42,0,25,96,3,3,24,69,6,5
Jose Molina,34,NYY,52,155,138,15,30,4,0,1,11,0,0,14,28,1,0
Jose Morales,26,MIN,54,134,119,14,37,6,0,0,7,0,0,14,22,0,1
Jose Reyes,26,NYM,36,166,147,18,41,7,2,2,15,11,2,18,19,0,1
Josh Anderson,26,TOT,118,298,283,42,68,7,4,1,24,25,5,13,43,1,0
Josh Bard,31,WSN,90,301,274,20,63,18,0,6,31,0,1,24,50,1,1
Josh Barfield,26,CLE,17,20,20,5,8,1,0,0,2,0,1,0,7,0,0
Josh Fields,26,CHW,79,268,239,29,53,5,2,7,30,2,3,25,76,2,0
Josh Fogg,32,COL,23,12,9,0,1,0,0,0,0,0,0,1,1,0,0
Josh Geer,26,SDP,17,31,24,2,4,1,0,0,1,0,0,2,10,0,0
Josh Hamilton,28,TEX,89,365,336,43,90,19,2,10,54,8,3,24,79,1,2
Josh Johnson,25,FLA,32,77,62,8,12,1,0,3,10,0,0,6,33,0,0
Josh Reddick,22,BOS,27,62,59,5,10,4,0,2,4,0,0,2,17,1,0
Josh Thole,22,NYM,17,59,53,2,17,2,1,0,9,1,0,4,5,0,0
Josh Whitesell,27,ARI,46,133,108,7,21,7,0,1,14,0,0,24,29,1,4
Josh Willingham,30,WSN,133,502,427,70,111,29,0,24,61,4,3,61,104,12,2
Josh Wilson,28,TOT,72,211,192,19,42,11,1,3,13,1,2,12,44,4,1
Juan Castro,37,LAD,57,121,112,18,31,4,0,1,9,0,0,6,25,0,1
Juan Francisco,22,CIN,14,25,21,4,9,1,0,1,7,0,0,3,7,1,0
Juan Pierre,31,LAD,145,425,380,57,117,16,8,0,31,30,12,27,27,8,3
Juan Rivera,30,LAA,138,572,529,72,152,24,1,25,88,0,1,36,57,2,1
Juan Uribe,30,SFG,122,432,398,50,115,26,4,16,55,3,1,25,82,1,2
Julio Borbon,23,TEX,46,179,157,30,49,4,0,4,20,19,4,15,28,1,0
Julio Lugo,33,TOT,88,293,257,40,72,13,5,3,21,9,0,29,45,1,0
Justin Lehr,31,CIN,11,28,22,1,2,1,0,0,1,0,0,1,8,0,0
Justin Maxwell,25,WSN,40,102,89,13,22,4,1,4,9,6,1,12,32,1,0
Justin Morneau,28,MIN,135,590,508,85,139,31,1,30,100,0,0,72,86,3,12
Justin Turner,24,BAL,12,22,18,2,3,0,0,0,3,0,0,4,3,0,0
Justin Upton,21,ARI,138,588,526,84,158,30,7,26,86,20,5,55,137,2,3
Kazuo Matsui,33,HOU,132,533,476,56,119,20,2,9,46,19,3,34,85,3,2
Kelly Johnson,27,ATL,106,346,303,47,68,20,3,8,29,7,2,32,54,3,1
Kelly Shoppach,29,CLE,89,327,271,33,58,14,0,12,40,0,0,33,98,18,0
Ken Griffey Jr.,39,SEA,117,454,387,44,83,19,0,19,57,0,0,63,80,1,2
Kendrys Morales,26,LAA,152,622,566,86,173,43,2,34,108,3,7,46,117,2,10
Kenji Johjima,33,SEA,71,258,239,24,59,11,0,9,22,2,2,12,28,5,0
Kenshin Kawakami,34,ATL,32,49,41,0,4,0,0,0,0,0,0,3,13,0,0
Kevin Barker,33,CIN,29,36,32,2,9,3,0,0,3,0,0,3,9,0,1
Kevin Cash,31,NYY,10,28,26,1,6,2,0,0,3,0,0,0,5,1,0
Kevin Correia,28,SDP,36,68,55,2,8,1,0,0,0,0,1,2,21,0,0
Kevin Frandsen,27,SFG,23,54,50,3,7,2,0,0,1,0,0,3,4,1,0
Kevin Hart,26,TOT,16,29,25,3,4,0,0,0,2,0,0,3,7,0,0
Kevin Kouzmanoff,27,SDP,141,573,529,50,135,31,1,18,88,1,0,27,106,11,3
Kevin Millar,37,TOR,78,283,251,29,56,14,0,7,29,0,0,31,49,1,0
Kevin Youkilis,30,BOS,136,588,491,99,150,36,1,27,94,7,2,77,125,16,6
Khalil Greene,29,STL,77,193,170,21,34,7,0,6,24,2,1,15,35,3,1
Kip Wells,32,TOT,33,17,11,1,1,0,0,0,0,0,0,0,4,0,0
Kosuke Fukudome,32,CHC,146,603,499,79,129,38,5,11,54,6,10,93,112,3,3
Koyie Hill,30,CHC,83,284,253,26,60,12,2,2,24,0,0,27,78,1,6
Kris Medlen,23,ATL,38,13,13,0,0,0,0,0,0,0,0,0,7,0,0
Kurt Suzuki,25,OAK,147,614,570,74,156,37,1,15,88,8,2,28,59,8,0
Kyle Blanks,22,SDP,54,172,148,24,37,9,0,10,22,1,1,18,55,6,1
Kyle Lohse,30,STL,23,45,37,3,8,0,0,0,2,0,0,1,7,2,0
Kyle Phillips,25,TOR,5,18,18,1,5,3,0,0,2,0,0,0,4,0,0
Lance Berkman,33,HOU,136,563,460,73,126,31,1,25,80,7,4,97,98,1,14
Landon Powell,27,OAK,46,155,140,19,32,7,0,7,30,0,0,14,36,0,0
Lastings Milledge,24,TOT,65,265,244,21,68,11,0,4,21,7,4,13,47,4,0
Laynce Nix,28,CIN,116,337,309,42,74,26,1,15,46,0,1,22,81,2,3
Liván Hernández,34,TOT,30,67,54,1,8,2,0,0,0,0,0,2,6,0,0
Lou Marson,23,TOT,21,72,61,9,15,7,0,0,4,0,0,10,21,0,0
Luis Castillo,33,NYM,142,580,486,77,147,12,3,1,40,20,6,69,58,1,3
Luis Cruz,25,PIT,27,78,70,5,15,1,0,0,2,0,0,6,7,1,1
Luis Durango,23,SDP,9,14,11,3,6,0,0,0,0,2,1,2,2,0,0
Luis Hernandez,25,KCR,37,81,73,4,15,1,0,0,4,1,0,4,18,1,0
Luis Montanez,27,BAL,29,91,82,5,15,5,0,1,6,0,1,5,16,2,0
Luis Rodriguez,29,SDP,93,251,208,18,42,6,0,2,16,1,0,37,23,0,4
Luis Valbuena,23,CLE,103,398,368,52,92,25,3,10,31,2,3,26,83,0,0
Luke Carlin,28,ARI,10,21,18,3,3,0,0,0,1,0,0,3,3,0,0
Luke Scott,31,BAL,128,506,449,61,116,26,1,25,77,0,0,55,104,1,5
Lyle Overbay,32,TOR,132,500,423,57,112,35,1,16,64,0,0,74,95,0,6
Magglio Ordonez,35,DET,131,518,465,54,144,24,2,9,50,3,1,51,65,0,2
Maicer Izturis,28,LAA,114,437,387,74,116,22,3,8,65,13,5,35,41,5,2
Manny Parra,26,MIL,26,54,45,4,6,2,0,0,4,0,0,1,22,1,0
Manny Ramirez,37,LAD,104,431,352,62,102,24,2,19,63,0,1,71,81,7,21
Marco Scutaro,33,TOR,144,680,574,100,162,35,1,12,60,14,5,90,75,4,0
Marcus Thames,32,DET,87,294,258,33,65,11,1,13,36,0,2,29,72,1,2
Mark DeRosa,34,TOT,139,576,515,78,129,23,1,23,78,3,2,47,121,7,1
Mark Ellis,32,OAK,105,410,377,52,99,23,0,10,61,10,3,23,54,2,1
Mark Kotsay,33,TOT,67,206,187,16,52,9,0,4,23,3,2,15,21,0,3
Mark Loretta,37,LAD,107,204,181,19,42,8,0,0,25,1,1,20,21,1,2
Mark Reynolds,25,ARI,155,662,578,98,150,30,1,44,102,24,9,76,223,5,3
Mark Teahen,27,KCR,144,571,524,69,142,34,1,12,50,8,1,37,123,6,4
Mark Teixeira,29,NYY,156,707,609,103,178,43,3,39,122,2,0,81,114,12,9
Marlon Byrd,31,TEX,146,599,547,66,155,43,2,20,89,8,4,32,98,10,2
Martin Prado,25,ATL,128,503,450,64,138,38,0,11,49,1,3,36,59,2,1
Mat Gamel,23,MIL,61,148,128,11,31,6,1,5,20,1,0,18,54,1,2
Mat Latos,21,SDP,10,21,19,0,1,0,0,0,0,0,0,0,9,0,0
Matt Cain,24,SFG,32,73,60,2,9,2,1,0,3,0,0,4,31,0,0
Matt Carson,27,OAK,10,22,21,1,6,0,0,1,5,0,0,0,7,0,0
Matt Diaz,31,ATL,125,425,371,56,116,18,4,13,58,12,5,35,90,13,2
Matt Downs,25,SFG,17,60,53,6,9,2,0,1,2,1,0,6,13,0,1
Matt Holliday,29,TOT,156,670,581,94,182,39,3,24,109,14,7,72,101,10,8
Matt Kata,31,HOU,40,52,50,2,10,1,0,0,5,1,0,0,5,1,0
Matt Kemp,24,LAD,159,667,606,97,180,25,7,26,101,34,8,52,139,3,6
Matt LaPorta,24,CLE,52,198,181,29,46,13,0,7,21,2,0,12,37,3,0
Matt Maloney,25,CIN,7,15,12,1,3,0,0,0,0,0,0,1,5,0,0
Matt Murton,27,COL,29,56,52,7,13,5,0,1,6,2,0,4,14,0,0
Matt Stairs,41,PHI,99,129,103,15,20,4,0,5,17,0,0,23,30,3,3
Matt Tolbert,27,MIN,71,231,198,28,46,7,1,2,19,6,2,21,37,0,1
Matt Treanor,33,DET,4,14,13,0,0,0,0,0,0,0,0,1,4,0,0
Matt Tuiasosopo,23,SEA,7,25,22,2,5,1,0,1,2,0,0,2,5,0,0
Matt Wieters,23,BAL,96,385,354,35,102,15,1,9,43,0,0,28,86,1,2
Matthew Joyce,24,TBR,11,37,32,3,6,1,0,3,7,1,0,3,7,1,0
Max Scherzer,24,ARI,30,61,53,4,12,2,0,0,3,0,0,3,17,0,0
Melky Cabrera,24,NYY,154,540,485,66,133,28,1,13,68,10,2,43,59,4,4
Melvin Mora,37,BAL,125,496,450,44,117,20,0,8,48,3,3,34,60,8,1
Melvin Upton Jr.,24,TBR,144,626,560,79,135,33,4,11,55,42,14,57,152,3,0
Micah Hoffpauir,29,CHC,105,257,234,28,56,12,1,10,35,1,0,20,46,1,1
Micah Owings,26,CIN,39,58,54,7,14,4,1,3,10,0,0,1,19,1,0
Michael Aubrey,27,BAL,31,95,90,12,26,7,0,4,14,0,0,5,10,0,0
Michael Barrett,32,TOR,7,19,18,3,3,0,0,1,2,0,0,1,5,0,1
Michael Bourn,26,HOU,157,678,606,97,173,27,12,3,35,61,12,63,140,2,1
Michael Brantley,22,CLE,28,121,112,10,35,4,0,0,11,4,4,8,19,0,0
Michael Cuddyer,30,MIN,153,650,588,93,162,34,7,32,94,6,1,54,118,6,3
Michael Saunders,22,SEA,46,129,122,13,27,1,3,0,4,4,1,6,40,0,0
Michael Young,32,TEX,135,593,541,76,174,36,2,22,68,8,3,47,90,1,2
Michel Hernandez,30,TBR,35,107,99,12,24,3,1,1,12,2,1,7,12,0,0
Miguel Cabrera,26,DET,160,685,611,96,198,34,0,34,103,6,2,68,107,5,14
Miguel Cairo,35,PHI,27,47,45,6,12,2,1,1,2,0,0,0,4,1,0
Miguel Montero,25,ARI,128,470,425,61,125,30,0,16,59,1,2,38,78,3,5
Miguel Olivo,30,KCR,114,416,390,51,97,15,5,23,65,5,2,19,126,5,0
Miguel Tejada,35,HOU,158,674,635,83,199,46,1,14,86,5,2,19,48,11,2
Mike Aviles,28,KCR,36,127,120,10,22,3,1,1,8,1,0,4,26,0,0
Mike Burns,30,MIL,15,18,13,1,1,0,0,0,2,0,0,2,7,0,0
Mike Cameron,36,MIL,149,628,544,78,136,32,3,24,70,7,3,75,156,4,3
Mike Carp,23,SEA,21,65,54,7,17,3,1,1,5,0,0,8,10,2,0
Mike Fontenot,29,CHC,135,419,377,38,89,22,2,9,43,4,1,35,83,2,4
Mike Hampton,36,HOU,21,41,37,6,12,1,0,1,7,0,0,2,8,0,0
Mike Jacobs,28,KCR,128,478,434,46,99,16,1,19,61,0,0,41,132,2,2
Mike Lowell,35,BOS,119,484,445,54,129,29,1,17,75,2,1,33,61,1,5
Mike Morse,27,WSN,32,55,52,4,13,3,0,3,10,0,0,3,16,0,0
Mike Napoli,27,LAA,114,432,382,60,104,22,1,20,56,3,3,40,103,7,1
Mike Pelfrey,25,NYM,29,61,52,4,5,1,0,0,4,0,0,2,12,1,0
Mike Redmond,38,MIN,45,147,135,9,32,5,1,0,7,0,0,11,19,1,0
Mike Rivera,32,MIL,41,132,114,10,26,7,0,2,14,1,0,15,32,2,3
Mike Sweeney,35,SEA,74,266,242,25,68,15,0,8,34,0,0,17,31,4,2
Milton Bradley,31,CHC,124,473,393,61,101,17,1,12,40,2,3,66,95,11,4
Mitch Jones,31,LAD,8,15,13,1,4,1,0,0,0,0,0,0,6,2,0
Mitch Maier,27,KCR,127,397,341,42,83,15,3,3,31,9,2,43,76,4,2
Mitchell Boggs,25,STL,16,17,14,1,1,1,0,0,0,0,0,0,6,0,0
Nate McLouth,27,TOT,129,591,507,86,130,27,2,20,70,19,6,68,99,9,1
Nate Schierholtz,25,SFG,116,308,285,33,76,19,2,5,29,3,1,16,58,1,3
Neil Walker,23,PIT,17,40,36,5,7,1,0,0,0,1,0,4,11,0,0
Nelson Cruz,28,TEX,128,515,462,75,120,21,1,33,76,20,4,49,118,2,6
Nelson Figueroa,35,NYM,16,25,22,1,3,0,1,0,3,0,0,1,8,0,0
Nick Evans,23,NYM,30,69,65,5,15,5,1,1,7,0,0,4,20,0,0
Nick Green,30,BOS,103,309,276,35,65,18,0,6,35,1,4,20,69,8,1
Nick Hundley,25,SDP,78,289,256,23,61,15,2,8,30,5,1,28,76,1,1
Nick Johnson,30,TOT,133,574,457,71,133,24,2,8,62,2,4,99,84,12,4
Nick Markakis,25,BAL,161,711,642,94,188,45,2,18,101,6,2,56,98,3,0
Nick Punto,31,MIN,125,440,359,56,82,15,1,1,38,16,3,61,70,1,1
Nick Stavinoha,27,STL,39,91,87,6,20,7,0,2,17,1,0,2,15,0,0
Nick Swisher,28,NYY,150,607,498,84,124,35,1,29,82,0,0,97,126,3,2
Niuman Romero,24,CLE,10,15,14,2,2,0,0,0,0,0,0,1,5,0,0
Nolan Reimold,25,BAL,104,411,358,49,100,18,2,15,45,8,2,47,77,3,1
Nomar Garciaparra,35,OAK,65,169,160,17,45,8,0,3,16,2,0,8,28,0,1
Nyjer Morgan,28,TOT,120,533,469,74,144,15,7,3,39,42,17,40,74,9,2
Oliver Perez,27,NYM,14,24,22,1,6,0,0,0,0,0,0,1,7,0,0
Omar Infante,27,ATL,70,229,203,24,62,9,1,2,27,2,0,19,28,1,0
Omar Quintanilla,27,COL,58,69,58,7,10,2,0,0,2,0,0,8,27,0,0
Omar Vizquel,42,TEX,62,195,177,17,47,7,2,1,14,4,0,13,27,0,0
Omir Santos,28,NYM,96,306,281,28,73,14,1,7,40,0,0,15,44,2,1
Orlando Cabrera,34,TOT,160,708,656,83,186,36,3,9,77,13,4,36,71,0,1
Orlando Hudson,31,LAD,149,631,551,74,156,35,6,9,62,8,1,62,99,4,4
Oscar Salazar,31,TOT,72,154,139,16,42,8,2,5,25,0,0,14,20,0,1
Pablo Sandoval,22,SFG,153,633,572,79,189,44,5,25,90,5,5,52,83,4,13
Pat Burrell,32,TBR,122,476,412,45,91,16,1,14,64,2,0,57,119,2,2
Pat Misch,27,TOT,25,17,13,0,0,0,0,0,0,0,0,2,5,0,0
Paul Bako,37,PHI,44,130,116,12,26,4,0,3,9,0,1,13,32,1,2
Paul Janish,26,CIN,90,292,256,36,54,21,0,1,16,2,0,26,40,5,1
Paul Konerko,33,CHW,152,621,546,75,151,30,1,28,88,1,0,58,89,10,4
Paul Maholm,27,PIT,30,67,58,1,4,1,0,1,2,0,0,3,36,0,0
Paul Phillips,32,COL,17,54,45,5,14,2,0,1,9,0,0,7,3,0,1
Pedro Feliz,34,PHI,158,625,580,62,154,30,2,12,82,0,1,35,68,3,3
Pedro Martinez,37,PHI,9,16,14,0,1,0,0,0,1,0,0,1,6,0,0
Pete Orr,30,WSN,27,81,75,5,19,2,1,1,10,2,1,3,15,0,0
Placido Polanco,33,DET,153,676,618,82,176,31,4,10,72,7,2,36,46,9,2
Prince Fielder,25,MIL,162,719,591,103,177,35,3,46,141,2,3,110,138,9,21
Rafael Furcal,31,LAD,150,680,613,92,165,28,5,9,47,12,6,61,89,1,2
Rajai Davis,28,OAK,125,432,390,65,119,27,5,3,48,41,12,29,70,7,0
Ramiro Pena,23,NYY,69,121,115,17,33,6,1,1,10,4,1,5,20,0,0
Ramon Castro,33,TOT,57,171,155,13,34,8,0,7,25,0,0,16,39,0,1
Ramon Hernandez,33,CIN,81,331,287,25,74,13,1,5,37,1,0,33,34,3,2
Ramon Martinez,36,NYM,12,44,42,1,7,2,0,0,4,1,0,1,9,0,0
Ramon Santiago,29,DET,93,296,262,29,70,6,2,7,35,1,2,17,57,4,1
Ramon Vazquez,32,PIT,101,239,204,17,47,7,0,1,16,1,0,31,47,2,4
Randy Johnson,45,SFG,20,28,26,1,2,0,0,0,0,0,0,1,16,0,0
Randy Ruiz,31,TOR,33,130,115,25,36,7,0,10,17,1,1,10,35,4,0
Randy Wells,26,CHC,26,61,47,5,9,3,0,0,2,0,0,2,7,0,0
Randy Winn,35,SFG,149,597,538,65,141,33,5,2,51,16,2,47,93,1,2
Randy Wolf,32,LAD,33,81,68,5,11,4,0,1,11,1,0,2,22,1,0
Raul Chavez,36,TOR,51,168,159,10,41,8,0,2,15,1,1,6,23,0,0
Raul Ibanez,37,PHI,134,565,500,93,136,32,3,34,93,4,0,56,119,4,8
Reed Johnson,32,CHC,65,186,165,23,42,10,2,4,22,2,1,13,27,6,0
Reggie Willits,28,LAA,49,92,80,16,17,2,0,0,6,5,1,5,17,0,0
Reid Brignac,23,TBR,31,93,90,10,25,8,2,1,6,2,2,3,20,0,0
Reid Gorecki,28,ATL,31,27,25,6,5,0,0,0,3,1,0,1,12,0,0
Rich Aurilia,37,SFG,60,133,122,10,26,2,0,2,16,0,0,8,24,0,1
Rich Harden,27,CHC,26,48,43,3,8,1,0,0,0,0,0,1,15,0,0
Rick Ankiel,29,STL,122,404,372,50,86,21,2,11,38,4,3,26,99,3,4
Rick van den Hurk,24,FLA,11,22,21,0,0,0,0,0,0,0,0,0,17,0,0
Rickie Weeks,26,MIL,37,162,147,28,40,5,2,9,24,2,2,12,39,3,0
Ricky Nolasco,26,FLA,29,62,50,1,7,0,0,0,3,0,0,2,25,0,0
Rob Johnson,26,SEA,80,290,258,21,55,19,2,2,27,1,1,26,60,2,1
Robb Quinlan,32,LAA,54,120,115,13,28,5,0,2,14,1,1,5,30,0,0
Robert Andino,25,BAL,78,215,198,31,44,7,0,2,10,3,3,15,47,0,1
Robinson Cano,26,NYY,161,674,637,103,204,48,2,25,85,5,7,30,63,3,2
Robinzon Diaz,25,PIT,41,138,129,9,36,7,0,1,19,0,1,3,9,3,0
Rocco Baldelli,27,BOS,62,164,150,23,38,4,1,7,23,1,0,11,37,2,0
Rod Barajas,33,TOR,125,460,429,43,97,19,0,19,71,1,0,20,76,1,2
Ronnie Belliard,34,TOT,110,287,264,39,73,14,1,10,39,3,0,20,56,0,0
Ronny Cedeno,26,TOT,105,376,341,32,71,8,3,10,38,5,2,19,79,3,3
Ronny Paulino,28,FLA,80,266,239,24,65,10,1,8,27,1,0,25,48,0,2
Ross Detwiler,23,WSN,13,19,19,1,1,0,0,0,1,0,0,0,12,0,0
Ross Gload,33,FLA,125,259,230,33,60,10,2,6,30,0,0,23,30,2,4
Ross Ohlendorf,26,PIT,28,64,59,1,4,0,0,0,0,0,0,1,23,0,0
Roy Oswalt,31,HOU,29,66,49,4,6,0,0,0,2,0,0,2,8,1,0
Russ Adams,28,TOR,8,21,20,2,4,0,0,0,0,0,0,1,1,0,0
Russ Ortiz,35,HOU,24,31,28,2,5,0,0,1,2,0,0,1,9,0,0
Russell Branyan,33,SEA,116,505,431,64,108,21,1,31,76,2,0,58,149,9,6
Russell Martin,26,LAD,143,588,505,63,126,19,0,7,53,11,6,69,80,11,9
Rusty Ryal,26,ARI,30,68,59,11,16,6,2,3,9,0,0,6,21,2,1
Ryan Braun,25,MIL,158,708,635,113,203,39,6,32,114,20,6,57,121,13,1
Ryan Church,30,TOT,111,399,359,46,98,28,0,4,40,6,2,33,58,3,6
Ryan Dempster,32,CHC,30,75,64,2,8,1,0,0,5,0,0,4,20,0,0
Ryan Doumit,28,PIT,75,304,280,31,70,16,0,10,38,4,0,20,49,1,6
Ryan Freel,33,TOT,41,103,88,11,17,2,0,0,5,1,0,11,23,1,0
Ryan Garko,28,TOT,118,400,354,39,95,13,1,13,51,0,0,29,50,13,1
Ryan Hanigan,28,CIN,90,293,251,22,66,6,1,3,11,0,0,37,31,2,7
Ryan Howard,29,PHI,160,703,616,105,172,37,4,45,141,8,1,75,186,6,8
Ryan Langerhans,29,SEA,38,122,101,12,22,6,1,3,10,0,1,14,28,1,1
Ryan Ludwick,30,STL,139,542,486,63,129,20,1,22,97,4,2,41,106,7,3
Ryan Raburn,28,DET,113,291,261,44,76,11,2,16,45,5,4,26,60,2,2
Ryan Roberts,28,ARI,110,351,305,41,85,17,2,7,25,7,3,40,55,3,1
Ryan Rohlinger,25,SFG,12,20,19,0,3,1,0,0,4,0,0,1,6,0,0
Ryan Sadowski,26,SFG,6,12,10,0,1,0,0,0,0,0,0,0,6,0,0
Ryan Spilborghs,29,COL,133,393,352,55,85,24,3,8,48,9,5,34,79,2,0
Ryan Sweeney,24,OAK,134,534,484,68,142,31,3,6,53,6,5,40,67,3,1
Ryan Theriot,29,CHC,154,677,602,81,171,20,5,7,54,21,10,51,93,6,1
Ryan Zimmerman,24,WSN,157,694,610,110,178,37,3,33,106,2,0,72,119,2,9
Sam Fuld,27,CHC,65,115,97,17,29,6,1,1,2,2,1,17,10,1,1
Scott Hairston,29,TOT,116,464,430,50,114,27,2,17,64,11,3,25,83,3,0
Scott Olsen,25,WSN,11,22,15,1,2,0,0,0,1,0,0,3,7,0,0
Scott Podsednik,33,CHW,132,587,537,75,163,25,6,7,48,30,13,39,74,3,1
Scott Rolen,34,TOT,128,535,475,76,145,36,1,11,67,5,4,45,62,7,1
