Name,Tm,W,L,ERA,G,GS,IP,H,R,ER,HR,BB,SO
Jim Brower,TOT,3,2,4.37,52,0,80.1,77,40,39,7,32,57
LaTroy Hawkins,MIN,6,0,2.13,65,0,80.1,63,23,19,5,15,63
John Smoltz,ATL,3,2,3.25,75,0,80.1,59,30,29,4,24,85
Brian Boehringer,PIT,4,4,3.39,70,0,79.2,65,30,30,5,33,65
Sean Lowe,TOT,5,3,5.79,51,1,79.1,101,58,51,9,41,64
Terry Mulholland,TOT,3,2,5.7,37,3,79,101,56,50,15,21,38
Scott Sullivan,CIN,6,5,6.06,71,0,78.2,93,60,53,15,31,78
Nelson Cruz,HOU,2,6,4.48,43,5,78.1,90,44,39,12,29,61
Aaron Harang,OAK,5,4,4.83,16,15,78.1,78,44,42,7,45,64
Kelvim Escobar,TOR,5,7,4.27,76,0,78,75,39,37,10,44,85
Mike Stanton,NYY,7,1,3,79,0,78,73,29,26,4,28,44
Ben Weber,ANA,7,2,2.54,63,0,78,70,25,22,4,22,43
Jeremy Affeldt,KCR,3,4,4.64,34,7,77.2,85,41,40,8,37,67
Rocky Biddle,CHW,3,4,4.06,44,7,77.2,72,42,35,13,39,64
Bruce Chen,TOT,2,5,5.56,55,6,77.2,85,53,48,16,43,80
