Name,Tm,W,L,ERA,G,GS,IP,H,R,ER,HR,BB,SO
Rich Gossage,OAK,0,2,2.84,30,0,38,32,13,12,5,19,26
Dennis Rasmussen,KCR,4,1,1.43,5,5,37.2,25,7,6,0,6,12
Floyd Bannister,TEX,1,1,6.32,36,0,37,39,27,26,3,21,30
Mark Davis,KCR,1,3,7.18,13,6,36.1,42,31,29,6,28,19
Ron Robinson,MIL,1,4,5.86,8,8,35.1,51,26,23,3,14,12
Mike Flanagan,BAL,0,0,8.05,42,0,34.2,50,34,31,3,23,17
Clay Parker,SEA,0,2,7.56,8,6,33.1,47,28,28,6,11,20
Craig Lefferts,BAL,1,3,4.09,5,5,33,34,19,15,3,6,23
Jim Acker,SEA,0,0,5.28,17,0,30.2,45,19,18,4,12,11
Tony Fossas,BOS,1,2,2.43,60,0,29.2,31,9,8,1,14,19
Tom Bolton,BOS,1,2,3.41,21,1,29,34,11,11,0,14,23
Bryan Harvey,CAL,0,4,2.83,25,0,28.2,22,12,9,4,11,34
David West,MIN,1,3,6.99,9,3,28.1,32,24,22,3,20,19
Daryl Irvine,BOS,3,4,6.11,21,0,28,31,20,19,1,14,10
Matt Whiteside,TEX,1,1,1.93,20,0,28,26,8,6,1,11,13
Tim Burke,NYY,2,2,3.25,23,0,27.2,26,14,10,2,15,8
Mike Butcher,CAL,2,2,3.25,19,0,27.2,29,11,10,3,13,24
Scott Chiamparino,TEX,0,4,3.55,4,4,25.1,25,11,10,2,5,13
Pat Clements,BAL,2,0,3.28,23,0,24.2,23,10,9,0,11,9
Doug Linton,TOR,1,3,8.63,8,3,24,31,23,23,5,17,16
Lee Guetterman,NYY,1,1,9.53,15,0,22.2,35,24,24,5,13,5
Steve Howe,NYY,3,0,2.45,20,0,22,9,7,6,1,3,12
Dave Mlicki,CLE,0,2,4.98,4,4,21.2,23,14,12,3,16,16
